title,category,domain,description,more_info,recommended_action,link,apis
ElasticSearch Node To Node Encryption,ES,Ensure node-to-node encryption is enabled for all ElasticSearch domains.,Ensures ElasticSearch domain traffic is encrypted in transit between nodes,ElasticSearch domains should use node-to-node encryption to ensure data in transit remains encrypted using TLS 1.2.,Ensure node-to-node encryption is enabled for all ElasticSearch domains.,https://docs.aws.amazon.com/elasticsearch-service/latest/developerguide/ntn.html,"'ES:listDomainNames', 'ES:describeElasticsearchDomain'"
ElasticSearch Encryption Enabled,ES,Ensure encryption-at-rest is enabled for all ElasticSearch domains.,Ensure that AWS ElasticSearch domains have encryption enabled.,ElasticSearch domains should be encrypted to ensure that data is secured.,Ensure encryption-at-rest is enabled for all ElasticSearch domains.,https://docs.aws.amazon.com/elasticsearch-service/latest/developerguide/encryption-at-rest.html,"'ES:listDomainNames', 'ES:describeElasticsearchDomain', 'KMS:listKeys', 'KMS:describeKey', 'STS:getCallerIdentity'"
ElasticSearch Logging Enabled,ES,Ensure logging is enabled and a CloudWatch log group is specified for each ElasticSearch domain.,Ensures ElasticSearch domains are configured to log data to CloudWatch,ElasticSearch domains should be configured with logging enabled with logs sent to CloudWatch for analysis and long-term storage.,Ensure logging is enabled and a CloudWatch log group is specified for each ElasticSearch domain.,https://docs.aws.amazon.com/elasticsearch-service/latest/developerguide/es-createupdatedomains.html#es-createdomain-configure-slow-logs,"'ES:listDomainNames', 'ES:describeElasticsearchDomain'"
ElasticSearch TLS Version,ES,Update elasticsearch domain to set TLSSecurityPolicy to contain TLS version 1.2.,Ensure ElasticSearch domain is using the latest security policy to only allow TLS v1.2,ElasticSearch domains should be configured to enforce TLS version 1.2 for all clients to ensure encryption of data in transit with updated features.,Update elasticsearch domain to set TLSSecurityPolicy to contain TLS version 1.2.,https://docs.aws.amazon.com/elasticsearch-service/latest/developerguide/infrastructure-security.html,"'ES:listDomainNames', 'ES:describeElasticsearchDomain', 'STS:getCallerIdentity'"
ElasticSearch Cluster Status,ES,Databases,"Ensure that ElasticSearch clusters are healthy, i.e status is green.","Unhealthy Amazon ES clusters with the status set to ""Red"" is crucial for availability of ElasticSearch applications.",Configure alarms to send notification if cluster status remains red for more than a minute.,https://docs.aws.amazon.com/elasticsearch-service/latest/developerguide/cloudwatch-alarms.html,"'ES:listDomainNames', 'CloudWatch:getEsMetricStatistics', 'STS:getCallerIdentity'"
ElasticSearch Encrypted Domain,ES,Ensure encryption-at-rest is enabled for all ElasticSearch domains.,Ensures ElasticSearch domains are encrypted with KMS,ElasticSearch domains should be encrypted to ensure data at rest is secured.,Ensure encryption-at-rest is enabled for all ElasticSearch domains.,https://docs.aws.amazon.com/elasticsearch-service/latest/developerguide/encryption-at-rest.html,"'ES:listDomainNames', 'ES:describeElasticsearchDomain'"
ElasticSearch Access From IP Addresses,ES,Modify Elasticseach domain access policy to allow only known/whitelisted IP addresses.,Ensure only whitelisted IP addresses can access Amazon Elasticsearch domains.,ElasticSearch domains should only be accessible only from whitelisted IP addresses to avoid unauthorized access.,Modify Elasticseach domain access policy to allow only known/whitelisted IP addresses.,https://aws.amazon.com/blogs/security/how-to-control-access-to-your-amazon-elasticsearch-service-domain/,"'ES:listDomainNames', 'ES:describeElasticsearchDomain'"
ElasticSearch Dedicated Master Enabled,ES,Update the domain to use dedicated master nodes.,Ensure that Amazon Elasticsearch domains are using dedicated master nodes.,Using Elasticsearch dedicated master nodes to separate management tasks from index and search requests will improve the clusters ability to manage easily different types of workload and make them more resilient in production.,Update the domain to use dedicated master nodes.,http://docs.aws.amazon.com/elasticsearch-service/latest/developerguide/es-createupdatedomains.html,"'ES:listDomainNames', 'ES:describeElasticsearchDomain', 'STS:getCallerIdentity'"
ElasticSearch Desired Instance Type,ES,Reconfigure the domain to have the desired instance types.,Ensure that all your Amazon Elasticsearch cluster instances are of given instance types.,Limiting the type of Amazon Elasticsearch cluster instances that can be provisioned will help address compliance requirements and prevent unexpected charges on the AWS bill.,Reconfigure the domain to have the desired instance types.,https://docs.aws.amazon.com/elasticsearch-service/latest/developerguide/es-createupdatedomains.html,"'ES:listDomainNames', 'ES:describeElasticsearchDomain', 'STS:getCallerIdentity'"
ElasticSearch Domain Cross Account access,ES,Ensures that only trusted accounts have access to ElasticSearch domains.,Ensures that only trusted accounts have access to ElasticSearch domains.,Allowing unrestricted access of ES clusters will cause data leaks and data loss. This can be prevented by restricting access only to the trusted entities by implementing the appropriate access policies.,Restrict the access to ES clusters to allow only trusted accounts.,http://docs.aws.amazon.com/elasticsearch-service/latest/developerguide/es-gsg-configure-access.html,"'ES:listDomainNames', 'ES:describeElasticsearchDomain', 'STS:getCallerIdentity', 'Organizations:listAccounts'"
ElasticSearch HTTPS Only,ES,Ensure HTTPS connections are enforced for all ElasticSearch domains.,Ensures ElasticSearch domains are configured to enforce HTTPS connections,ElasticSearch domains should be configured to enforce HTTPS connections for all clients to ensure encryption of data in transit.,Ensure HTTPS connections are enforced for all ElasticSearch domains.,https://docs.aws.amazon.com/elasticsearch-service/latest/developerguide/es-createupdatedomains.html,"'ES:listDomainNames', 'ES:describeElasticsearchDomain'"
ElasticSearch Upgrade Available,ES,Ensure each ElasticSearch domain is running the latest service software and update out-of-date domains.,Ensures ElasticSearch domains are running the latest service software,ElasticSearch domains should be configured to run the latest service software which often contains security updates.,Ensure each ElasticSearch domain is running the latest service software and update out-of-date domains.,https://docs.aws.amazon.com/elasticsearch-service/latest/developerguide/es-version-migration.html,"'ES:listDomainNames', 'ES:describeElasticsearchDomain'"
Firehose Delivery Streams Encrypted,Firehose,Content Delivery,Ensures Firehose Delivery Stream encryption is enabled,Data sent through Firehose Delivery Streams can be encrypted using KMS server-side encryption. Existing delivery streams can be modified to add encryption with minimal overhead.,Enable encryption using KMS for all Firehose Delivery Streams.,https://docs.aws.amazon.com/firehose/latest/dev/encryption.html,"'Firehose:listDeliveryStreams', 'Firehose:describeDeliveryStream'"
Firehose Delivery Streams CMK Encrypted,Firehose,Content Delivery,Ensures Firehose delivery stream are encrypted using AWS KMS key of desired encryption level.,Data sent through Firehose delivery streams can be encrypted using KMS server-side encryption. Existing delivery streams can be modified to add encryption with minimal overhead. ,Enable encryption using desired level for all Firehose Delivery Streams.,https://docs.aws.amazon.com/firehose/latest/dev/encryption.html,"'Firehose:listDeliveryStreams', 'Firehose:describeDeliveryStream', 'KMS:describeKey', 'KMS:listKeys"
DMS Multi-AZ Feature Enabled,DMS,Application Integration,Ensure that your Amazon Database Migration Service (DMS) replication instances are using Multi-AZ deployment configurations.,"AWS Database Migration Service (AWS DMS) helps you migrate databases to AWS quickly and securely. In a Multi-AZ deployment, AWS DMS automatically provisions and maintains a synchronous standby replica of the replication instance in a different Availability Zone.",Enable Multi-AZ deployment feature in order to get high availability and failover support,https://docs.aws.amazon.com/dms/latest/userguide/CHAP_ReplicationInstance.html,'DMS:describeReplicationInstances'
DMS Encryption Enabled,DMS,Application Integration,Ensures DMS encryption is enabled using a CMK,"Data sent through the data migration service is encrypted using KMS. Encryption is enabled by default, but it is recommended to use customer managed keys.",Enable encryption using KMS CMKs for all DMS replication instances.,https://docs.aws.amazon.com/dms/latest/userguide/CHAP_Security.html,"'DMS:describeReplicationInstances', 'KMS:listKeys', 'KMS:describeKey', 'KMS:listAliases'"
DMS Publicly Accessible Instances,DMS,Application Integration,Ensure that Amazon Database Migration Service (DMS) instances are not publicly accessible.,"An AWS DMS replication instance can have one public IP address and one private IP address. If you uncheck (disable) the box for Publicly accessible, then the replication instance has only a private IP address. that prevents from exposure of data to other users",Ensure that DMS replication instances have only private IP address and not public IP address,https://docs.aws.amazon.com/dms/latest/userguide/CHAP_ReplicationInstance.PublicPrivate.html,'DMS:describeReplicationInstances'
DMS Auto Minor Version Upgrade,DMS,Application Integration,Ensure that your Amazon Database Migration Service (DMS) replication instances have the Auto Minor Version Upgrade feature enabled,"AWS Database Migration Service (AWS DMS) helps you migrate databases to AWS quickly and securely. The DMS service releases engine version upgrades regularly to introduce new software features, bug fixes, security patches and performance improvements.",Enable Auto Minor Version Upgrade feature in order to automatically receive minor engine upgrades for improved performance and security,https://docs.aws.amazon.com/dms/latest/userguide/CHAP_ReplicationInstance.Modifying.html,'DMS:describeReplicationInstances'
SES Email Messages Encrypted,SES,Content Delivery,Ensure that Amazon SES email messages are encrypted before delivering them to specified buckets.,Amazon SES email messages should be encrypted in case they are being delivered to S3 bucket to meet regulatory compliance requirements within your organization.,Enable encryption for SES email messages if they are being delivered to S3 in active rule-set .,https://docs.aws.amazon.com/kms/latest/developerguide/services-ses.html,"'SES:describeActiveReceiptRuleSet', 'KMS:listKeys', 'KMS:describeKey', 'STS:getCallerIdentity'"
Email DKIM Enabled,SES,Enable DKIM for all domains and addresses in all regions used to send email through SES.,Ensures DomainKeys Identified Mail (DKIM) is enabled for domains and addresses in SES.,DKIM is a security feature that allows recipients of an email to veriy that the sender domain has authorized the message and that it has not been spoofed.,Enable DKIM for all domains and addresses in all regions used to send email through SES.,http://docs.aws.amazon.com/ses/latest/DeveloperGuide/easy-dkim.html,"'SES:listIdentities', 'SES:getIdentityDkimAttributes', 'STS:getCallerIdentity'"
Auto Scaling Unused Launch Configuration,AutoScaling,Availability,Ensure that any unused Auto Scaling Launch Configuration templates are identified and removed from your account in order to adhere to AWS best practices.,"A launch configuration is an instance configuration template that an Auto Scaling group uses to launch EC2 instances. When you create a launch configuration, you specify information for the instances. ",Identify and remove any Auto Scaling Launch Configuration templates that are not associated anymore with ASGs available in the selected AWS region.,https://docs.aws.amazon.com/autoscaling/ec2/userguide/LaunchConfiguration.html,"'AutoScaling:describeAutoScalingGroups', 'AutoScaling:describeLaunchConfigurations'"
Web-Tier ASG Launch Configurations Approved AMIs,AutoScaling,Availability,Ensures that Web-Tier Auto Scaling Group Launch Configurations are using approved AMIs.,Web-Tier Auto Scaling Group Launch Configurations should use approved AMIs only to launch EC2 instances within the ASG,Update Web-Tier ASG Launch Configuration to use approved AMIs only,https://docs.aws.amazon.com/autoscaling/ec2/userguide/LaunchConfiguration.html,"'AutoScaling:describeAutoScalingGroups', 'AutoScaling:describeLaunchConfigurations', 'STS:getCallerIdentity'"
Auto Scaling Group Cooldown Period,AutoScaling,Availability,Ensure that your AWS Auto Scaling Groups are configured to use a cool down period.,A scaling cool down helps you prevent your Auto Scaling group from launching or terminating additional instances before the effects of previous activities are visible.,Implement proper cool down period for Auto Scaling groups to temporarily suspend any scaling actions.,https://docs.aws.amazon.com/autoscaling/ec2/userguide/Cooldown.html,'AutoScaling:describeAutoScalingGroups'
App-Tier ASG Launch Configurations Approved AMIs,AutoScaling,Availability,Ensures that App-Tier Auto Scaling Group Launch Configurations are using approved AMIs.,App-Tier Auto Scaling Group Launch Configurations should use approved AMIs only to launch EC2 instances within the ASG,Update App-Tier ASG Launch Configurations to use approved AMIs only,https://docs.aws.amazon.com/autoscaling/ec2/userguide/LaunchConfiguration.html,"'AutoScaling:describeAutoScalingGroups', 'AutoScaling:describeLaunchConfigurations'"
Auto Scaling Group Missing ELB,AutoScaling,Availability,Ensures all Auto Scaling groups are referencing active load balancers.,Each Auto Scaling group with a load balancer configured should reference an active ELB.,"Ensure that the Auto Scaling group load balancer has not been deleted. If so, remove it from the ASG.",https://docs.aws.amazon.com/autoscaling/ec2/userguide/attach-load-balancer-asg.html,"'AutoScaling:describeAutoScalingGroups', 'ELB:describeLoadBalancers', 'ELBv2:describeLoadBalancers'"
ASG Multiple AZ,AutoScaling,Availability,Ensures that ASGs are created to be cross-AZ for high availability.,"ASGs can easily be configured to allow instances to launch in multiple availability zones. This ensures that the ASG can continue to scale, even when AWS is experiencing downtime in one or more zones.",Modify the autoscaling instance to enable scaling across multiple availability zones.,http://docs.aws.amazon.com/autoscaling/latest/userguide/AutoScalingGroup.html,'AutoScaling:describeAutoScalingGroups'
AutoScaling ELB Same Availability Zone,AutoScaling,Availability,Ensures all autoscaling groups with attached ELBs are operating in the same availability zone.,"To work properly and prevent orphaned instances, ELBs must be created in the same availability zones as the backend instances in the autoscaling group.",Update the ELB to use the same availability zones as the autoscaling group.,https://docs.aws.amazon.com/autoscaling/ec2/userguide/as-add-availability-zone.html,"'AutoScaling:describeAutoScalingGroups', 'ELB:describeLoadBalancers', 'ELBv2:describeLoadBalancers'"
Web-Tier Auto Scaling Group Associated ELB,AutoScaling,Availability,Ensures that Web-Tier Auto Scaling Group has an associated Elastic Load Balancer,Web-Tier Auto Scaling groups should have an ELB associated to distribute incoming traffic across EC2 instances.,Update Web-Tier Auto Scaling group to associate ELB to distribute incoming traffic.,https://docs.aws.amazon.com/autoscaling/ec2/userguide/attach-load-balancer-asg.html,'AutoScaling:describeAutoScalingGroups'
Empty AutoScaling Group,AutoScaling,Availability,Ensures all autoscaling groups contain at least 1 instance.,AutoScaling groups that are no longer in use should be deleted to prevent accidental use.,Delete the unused AutoScaling group.,https://docs.aws.amazon.com/autoscaling/ec2/userguide/AutoScalingGroup.html,'AutoScaling:describeAutoScalingGroups'
Web-Tier Auto Scaling Group CloudWatch Logs Enabled,AutoScaling,Availability,Ensures that Web-Tier Auto Scaling Groups are using CloudWatch Logs agent.,"EC2 instance available within web-tier Auto Scaling Group (ASG) should use an AWS CloudWatch Logs agent to monitor, store and access log files.",Update web-tier Auto Scaling Group to use CloudWatch Logs agent,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/Install-CloudWatch-Agent.html,"'AutoScaling:describeAutoScalingGroups', 'AutoScaling:describeLaunchConfigurations', 'STS:getCallerIdentity'"
Auto Scaling Notifications Active,AutoScaling,Availability,Ensures auto scaling groups have notifications active.,"Notifications can be sent to an SNS endpoint when scaling actions occur, which should be set to ensure all scaling activity is recorded.",Add a notification endpoint to the auto scaling group.,https://docs.aws.amazon.com/autoscaling/ec2/userguide/ASGettingNotifications.html,"'AutoScaling:describeAutoScalingGroups', 'AutoScaling:describeNotificationConfigurations'"
Web-Tier Launch Configurations IAM Roles,AutoScaling,Availability,Ensures that Web-Tier Auto Scaling launch configuration is configured to use a customer created IAM role.,Web-Tier Auto Scaling launch configuration should have a customer created Web-Tier IAM role to provide necessary credentials to access AWS services.,Update Web-Tier Auto Scaling launch configuration and attach a customer created Web-Tier IAM role,https://docs.aws.amazon.com/autoscaling/ec2/userguide/us-iam-role.html,"'AutoScaling:describeAutoScalingGroups', 'AutoScaling:describeLaunchConfigurations'"
Suspended AutoScaling Groups,AutoScaling,Availability,Ensures that there are no Amazon AutoScaling groups with suspended processes.,AutoScaling groups should not have any suspended processes to avoid disrupting the AutoScaling workflow.,Update the AutoScaling group to resume the suspended processes.,https://docs.aws.amazon.com/autoscaling/ec2/userguide/as-suspend-resume-processes.html,'AutoScaling:describeAutoScalingGroups'
Launch Configuration Referencing Missing Security Groups,AutoScaling,Availability,Ensures that Auto Scaling launch configurations are not utilizing missing security groups.,Auto Scaling launch configuration should utilize an active security group to ensure safety of managed instances.,"Ensure that the launch configuration security group has not been deleted. If so, remove it from launch configurations",https://docs.aws.amazon.com/autoscaling/ec2/userguide/GettingStartedTutorial.html,"'AutoScaling:describeLaunchConfigurations', 'EC2:describeSecurityGroups'"
App-Tier Launch Configurations IAM Roles,AutoScaling,Availability,Ensures that App-Tier Auto Scaling launch configuration is configured to use a customer created IAM role.,App-Tier Auto Scaling launch configuration should have a customer created App-Tier IAM role to provide necessary credentials to access AWS services.,Update App-Tier Auto Scaling launch configuration and attach a customer created App-Tier IAM role,https://docs.aws.amazon.com/autoscaling/ec2/userguide/us-iam-role.html,"'AutoScaling:describeAutoScalingGroups', 'AutoScaling:describeLaunchConfigurations'"
ELB Health Check Active,AutoScaling,Availability,Ensures all Auto Scaling groups have ELB health check active.,Auto Scaling groups should have ELB health checks active to replace unhealthy instances in time.,Enable ELB health check for the Auto Scaling groups.,https://docs.aws.amazon.com/autoscaling/ec2/userguide/as-add-elb-healthcheck.html,'AutoScaling:describeAutoScalingGroups'
App-Tier Auto Scaling Group CloudWatch Logs Enabled,AutoScaling,Availability,Ensures that App-Tier Auto Scaling Groups are using CloudWatch logs agent.,"EC2 instance available within app-tier Auto Scaling Group (ASG) should use an AWS CloudWatch Logs agent to monitor, store and access log files.",Update app-tier Auto Scaling Group to use CloudWatch Logs agent,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/Install-CloudWatch-Agent.html,"'AutoScaling:describeAutoScalingGroups', 'AutoScaling:describeLaunchConfigurations', 'STS:getCallerIdentity'"
ELBv2 HTTPS Only,ELBv2,Content Delivery,Ensures ELBs are configured to only accept',"For maximum security, ELBs can be configured to only",Remove non-HTTPS listeners from load balancer.,http://docs.aws.amazon.com/ElasticLoadBalancing/latest/DeveloperGuide/elb-security-policy-options.html,"'ELBv2:describeLoadBalancers', 'ELBv2:describeListeners'"
ELBv2 Deregistration Delay,ELBv2,Content Delivery,Ensures that AWS ELBv2 target groups have deregistration delay configured.,AWS ELBv2 target groups should have deregistration delay configured to help in-flight requests to the target to complete.,Update ELBv2 target group attributes and set the deregistration delay value,https://docs.aws.amazon.com/elasticloadbalancing/latest/application/load-balancer-target-groups.html#deregistration-delay,"'ELBv2:describeLoadBalancers', 'ELBv2:describeTargetGroups', 'ELBv2:describeTargetGroupAttributes'"
ELBv2 NLB Listener Security,ELBv2,Content Delivery,Ensures that AWS Network Load Balancers have secured listener configured.,AWS Network Load Balancer should have TLS protocol listener configured to terminate TLS traffic.,Attach TLS listener to AWS Network Load Balancer,https://docs.amazonaws.cn/en_us/elasticloadbalancing/latest/network/create-tls-listener.html,"'ELBv2:describeLoadBalancers', 'ELBv2:describeListeners'"
ELBv2 WAF Enabled,ELBv2,Content Delivery,Ensure that all Application Load Balancers have WAF enabled.,"Enabling WAF allows control over requests to the load balancer, allowing or denying traffic based off rules in the Web ACL","1. Enter the WAF service. 2. Enter Web ACLs and filter by the region the Application Load Balancer is in. 3. If no Web ACL is found, Create a new Web ACL in the region the ALB resides and in Resource type to associate with web ACL, select the Load Balancer. ",https://aws.amazon.com/blogs/aws/aws-web-application-firewall-waf-for-application-load-balancers/,"'ELBv2:describeLoadBalancers', 'WAFV2:listWebACLs', 'WAFRegional:listWebACLs', 'WAFV2:listResourcesForWebACL', 'WAFRegional:listResourcesForWebACL'"
ELBv2 Minimum Number of EC2 Target Instances,ELBv2,Content Delivery,Ensures that there is a minimum number of two healthy target instances associated with each AWS ELBv2 load balancer.,There should be a minimum number of two healthy target instances associated with each AWS ELBv2 load balancer to ensure fault tolerance.,Associate at least two healthy target instances to AWS ELBv2 load balancer,https://docs.aws.amazon.com/elasticloadbalancing/latest/application/load-balancer-target-groups.html,"'ELBv2:describeLoadBalancers', 'ELBv2:describeTargetGroups', 'ELBv2:describeTargetHealth'"
ELBv2 No Instances,ELBv2,Content Delivery,Detects ELBs that have no target groups attached,All ELBs should have backend server resources. ',Delete old ELBs that no longer have backend resources.,https://docs.aws.amazon.com/elasticloadbalancing/latest/application/load-balancer-target-groups.html,"'ELBv2:describeLoadBalancers', 'ELBv2:describeTargetGroups'"
ELBv2 Deletion Protection,ELBv2,Content Delivery,Ensures ELBv2 load balancers are configured with deletion protection.,ELBv2 load balancers should be configured with deletion protection to prevent accidental',Update ELBv2 load balancers to use deletion protection to prevent accidental deletion,https://docs.aws.amazon.com/elasticloadbalancing/latest/application/application-load-balancers.html#deletion-protection,"'ELBv2:describeLoadBalancers', 'ELBv2:describeLoadBalancerAttributes'"
ELB SSL Termination,ELBv2,Content Delivery,Ensure that Load Balancers has SSL certificate configured for SSL terminations.,SSL termination or SSL offloading decrypts and verifies data on the load balancer instead of the application server which spares the server of having to organize incoming connections and prioritize on other tasks like loading web pages. This helps increase server speed.,Attach SSL certificate with the listener to AWS Elastic Load Balancer,https://aws.amazon.com/blogs/aws/elastic-load-balancer-support-for-ssl-termination/,"'ELBv2:describeLoadBalancers', 'ELBv2:describeListeners'"
ELBv2 Logging Enabled,ELBv2,Content Delivery,Ensures load balancers have request logging enabled.,Logging requests to ELB endpoints is a helpful way ',Enable ELB request logging,http://docs.aws.amazon.com/elasticloadbalancing/latest/application/load-balancer-access-logs.html,"'ELBv2:describeLoadBalancers', 'ELBv2:describeLoadBalancerAttributes'"
Backup In Use For RDS Snapshots,Backup,Storage,Ensure that Amazon Backup is integrated with Amazon Relational Database Service in order to manage RDS database instance snapshots,"Amazon RDS creates and saves automated backups of your DB instance during the backup window of your DB instance. With Amazon Backup, you can centrally configure backup policies and rules, and monitor backup activity for AWS RDS database instances.",Enable RDS database instance snapshots to improve the reliability of your backup strategy.,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_WorkingWithAutomatedBackups.html,'RDS:describeDBSnapshots'
Backup Deletion Protection Enabled,Backup,Storage,Ensure that an Amazon Backup vault access policy is configured to prevent the deletion of AWS backups in the backup vault.,"With AWS Backup, you can assign policies to backup vaults and the resources they contain. Assigning policies allows you to do things like grant access to users to create backup plans and on-demand backups, but limit their ability to delete recovery points after they are created.",Add a statement in Backup vault access policy which denies global access to action: backup:DeleteRecoveryPoint,https://docs.aws.amazon.com/aws-backup/latest/devguide/creating-a-vault-access-policy.html,"'Backup:listBackupVaults', 'Backup:getBackupVaultAccessPolicy' "
Backup Vault Encrypted,Backup,Storage,Ensure that your Amazon Backup vaults are using AWS KMS Customer Master Keys instead of AWS managed-keys (i.e. default encryption keys).,"When you encrypt AWS Backup using your own AWS KMS Customer Master Keys (CMKs) for enhanced protection, you have full control over who can use the encryption keys to access your backups.",Encrypt Backup Vault with desired encryption level,https://docs.aws.amazon.com/aws-backup/latest/devguide/creating-a-vault.html,"'Backup:listBackupVaults', 'KMS:listKeys', 'KMS:describeKey'"
Backup Resource Protection,Backup,Storage,Ensure that protected resource types feature is enabled and configured for Amazon Backup service within.,Amazon Backup protected resource types feature allows you to choose which resource types are protected by backup plans on per-region basis.,Enable protected resource type feature in order to meet compliance requirements.,https://docs.aws.amazon.com/aws-backup/latest/devguide/whatisbackup.html,'Backup:describeRegionSettings'
AWS Backup Compliant Lifecycle Configured,Backup,Storage,Ensure that a compliant lifecycle configuration is enabled for your Amazon Backup plans in order to meet compliance requirements when it comes to security and cost optimization.,The AWS Backup lifecycle configuration contains an array of transition objects specifying how long in days before a recovery point transitions to cold storage or is deleted.,Enable compliant lifecycle configuration for your Amazon Backup plans,https://docs.aws.amazon.com/aws-backup/latest/devguide/API_Lifecycle.html,"'Backup:listBackupPlans', 'Backup:getBackupPlan'"
Backup Failure Notification Enabled,Backup,Storage,Ensure that Amazon Backup vaults send notifications via Amazon SNS for each failed backup job event.,AWS Backup can take advantage of the robust notifications delivered by Amazon Simple Notification Service (Amazon SNS). You can configure Amazon SNS to notify you of AWS Backup events from the Amazon SNS console.,Configure Backup vaults to sent notifications alert for failed backup job events.,https://docs.aws.amazon.com/aws-backup/latest/devguide/sns-notifications.html,"'Backup:listBackupVaults', 'Backup:getBackupVaultNotifications' "
CloudFormation Drift Detection,CloudFormation,Application Integration,Ensures that AWS CloudFormation stacks are not in a drifted state.,AWS CloudFormation stack should not be in drifted state to ensure that stack template is aligned with the resources.,Resolve CloudFormation stack drift by importing drifted resource back to the stack.,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/resource-import-resolve-drift.html,'CloudFormation:listStacks'
CloudFormation Stack SNS Notifications,CloudFormation,Application Integration,Ensures that AWS CloudFormation stacks have SNS topic associated.,AWS CloudFormation stacks should have SNS topic associated to ensure stack events monitoring.,Associate an Amazon SNS topic to all CloudFormation stacks,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/cfn-console-view-stack-data-resources.html,"'CloudFormation:listStacks', 'CloudFormation:describeStacks'"
CloudFormation Stack Failed Status,CloudFormation,Application Integration,Ensures that AWS CloudFormation stacks are not in Failed mode for more than the maximum failure limit hours.,AWS CloudFormation stacks should not be in failed mode to avoid application downtime.,Remove or redeploy the CloudFormation failed stack.,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/cfn-console-view-stack-data-resources.html,"'CloudFormation:listStacks', 'CloudFormation:describeStackEvents'"
CloudFormation Admin Priviliges,CloudFormation,Application Integration,Ensures no AWS CloudFormation stacks available in your AWS account has admin privileges.,"A service role is an AWS Identity and Access Management (IAM) role that allows AWS CloudFormation to make calls to resources in a stack on your behalf. You can specify an IAM role that allows AWS CloudFormation to create, update, or delete your stack resources",Modify IAM role attached with AWS CloudFormation stack to provide the minimal amount of access required to perform its tasks,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/using-iam-servicerole.html,"'CloudFormation:listStacks', 'CloudFormation:describeStacks', 'IAM:listRoles', 'IAM:listAttachedRolePolicies', 'IAM:listRolePolicies"
AWS CloudFormation In Use,CloudFormation,Application Integration,Ensure that Amazon CloudFormation service is in use within your AWS account to automate your infrastructure management and deployment.,AWS CloudFormation is a service that helps you model and set up your AWS resources so that you can spend less time managing those resources and more time focusing on your applications that run in AWS. ',Check if CloudFormation is in use or not by observing the stacks,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/Welcome.html,'CloudFormation:describeStacks'
CloudFormation Plaintext Parameters,CloudFormation,Application Integration,Ensures CloudFormation parameters that reference sensitive values are configured to use NoEcho.,"CloudFormation supports the NoEcho property for sensitive values, which should be used to ensure secrets are not exposed in the CloudFormation UI and APIs.",Update the sensitive parameters to use the NoEcho property.,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/parameters-section-structure.html,"'CloudFormation:listStacks', 'CloudFormation:describeStacks'"
CloudFormation Stack Termination Protection Enabled,CloudFormation,Application Integration,Ensures that AWS CloudFormation stacks have termination protection enabled.,AWS CloudFormation stacks should have termination protection enabled to avoid accidental stack deletion.,Enable termination protection for CloudFormation stack,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/using-cfn-protect-stacks.html,"'CloudFormation:listStacks', 'CloudFormation:describeStacks'"
Kendra Index Encrypted,Kendra,Databases,Ensure that the Kendra index is encrypted using desired encryption level.,Amazon Kendra encrypts your data at rest with AWS-manager keys by default. Use customer-managed keys instead in order to gain more granular control over encryption/decryption process.,Create Kendra Index with customer-manager keys (CMKs).,https://docs.aws.amazon.com/kendra/latest/dg/encryption-at-rest.html,"'Kendra:listIndices','Kendra:describeIndex', 'KMS:describeKey', 'KMS:listKeys', 'STS:getCallerIdentity'"
Connect Wisdom Domain Encrypted,Connect,Ensure that Amazon Connect Wisdom domains have encryption enabled.,Ensure that Wisdom domains created under Amazon Connect instances are using desired KMS encryption level.,"All user data stored in Amazon Connect Wisdom is encrypted at rest using encryption keys stored in AWS Key Management Service. Additionally, you can provide customer managed KMS keys in order to gain more control over encryption/decryption processes.",Ensure that Amazon Connect Wisdom domains have encryption enabled.,https://docs.aws.amazon.com/connect/latest/adminguide/encryption-at-rest.html,"'Wisdom:listAssistants', 'KMS:listKeys', 'KMS:describeKey'"
Connect Instance Media Streams Encrypted,Connect,Content Delivery,Ensure that Amazon Connect instances have encryption enabled for media streams being saved on Kinesis Video Stream.,"In Amazon Connect, you can capture customer audio during an interaction with your contact center by sending the audio to a Kinesis video stream. '",Modify Connect instance data storage configuration and enable encryption for media streams,https://docs.aws.amazon.com/connect/latest/adminguide/enable-live-media-streams.html,"'Connect:listInstances', 'Connect:listInstanceMediaStreamStorageConfigs', 'KMS:listKeys', 'KMS:describeKey'"
Connect Instance Chat Transcripts Encrypted,Connect,Content Delivery,Ensure that Amazon Connect instances have encryption enabled for chat transcripts being saved on S3.,You can configure Amazon Connect instance to save transcripts for chats to be saved on S3. When you save ',Modify Connect instance data storage configuration and enable encryption for chat transcripts,https://docs.aws.amazon.com/connect/latest/adminguide/encryption-at-rest.html,"'Connect:listInstances', 'Connect:listInstanceChatTranscriptStorageConfigs', 'KMS:listKeys', 'KMS:describeKey'"
